team name,flag ISO,NM1,NM2,NM3,NM4,HD1,HD2,HR1,HR2,DT1,DT2,Seed,NM Seed,HD Seed,HR Seed,DT Seed,NM1,NM2,NM3,NM4,HD1,HD2,HR1,HR2,DT1,DT2,team size,p1 ID,p2 ID,p3 ID,p4 ID,p1 flag code,p2 flag code,p3 flag code,p4 flag code
10000000 backflips,US,982025,1522922,727821,743972,946736,493110,1298392,980755,1753104,966604,18,18,53,19,9,27,4,37,34,48,64,20,18,6,19,4,13586618,7225339,1901534,13214651,US,LT,US,US
2hu vape squad,AU,786057,814884,471476,596116,675059,308351,859378,790430,956870,401221,61,62,84,52,55,56,42,69,60,75,78,61,33,50,64,4,3222676,8570559,10981171,10339653,AU,AU,NZ,AU
4BK PEDAH,RU,287496,258112,349539,414966,1112586,266746,578143,113344,261487,272968,87,94,61,90,87,98,91,82,81,30,83,84,97,90,82,2,14783866,8941856,,,RU,RU,,
4OldManBestSuiGiai,VN,829894,747299,739428,923843,1083212,459679,1093647,612918,886749,292193,47,38,48,48,64,49,52,35,15,35,67,44,47,56,77,4,6673790,3999831,5449433,4039647,VN,VN,VN,VN
4P,CA,490718,229063,253628,429380,340051,158134,509010,391606,350442,166171,92,91,94,83,89,93,93,92,80,95,93,89,72,87,92,4,11781098,11489119,11557281,14022785,CA,CA,US,CA
:ruotsi:,FI,1024605,1004943,1361402,780194,926093,1245889,1142436,904692,1773460,1590638,11,14,19,24,4,24,29,3,29,51,5,39,23,5,2,4,8925266,11375251,9561644,7005392,FI,FI,FI,FI
>c ronaldo7,ES,956173,760950,547091,617605,965333,389679,1432381,587081,772903,325611,52,51,63,26,68,29,51,57,58,45,69,12,53,64,71,4,8865297,6216284,8433636,17594074,ES,ES,ES,ES
@tzero anime??????,MY,764632,239664,627323,641902,596479,992131,670802,364176,255650,417613,74,70,45,77,82,57,92,52,52,85,15,80,75,91,62,2,6231292,6088976,,,MY,MY,,
A5 Ramen,NO,804062,776270,847238,718570,646973,502047,767739,607951,1075195,1470774,43,41,73,63,11,54,48,27,38,78,61,68,49,40,4,4,14963905,4659319,9570455,13160898,NO,MN,SG,US
ABRENUNCIAÇÃO😈,PT,601531,609819,413260,430017,601221,260631,710299,360164,454461,194797,82,76,85,74,84,78,70,75,79,82,84,76,76,81,89,4,2850104,2492226,9499290,15767298,PT,PT,PT,PT
AP Classroom,US,588765,357132,294677,324423,904815,237297,544476,171574,208777,107874,89,88,75,89,97,79,82,89,93,54,87,85,91,95,98,3,17299001,8924287,12777516,,US,US,US,
Albion online es u,ES,647070,696363,429152,490985,629196,359718,976097,496576,750371,425926,71,72,83,59,65,73,59,74,73,79,72,53,63,65,61,4,16420295,10735807,14987100,10849508,ES,ES,ES,ES
Anton and friends,NO,929746,1006961,1029037,856287,979165,502135,1111739,895452,929121,837093,36,22,52,30,38,33,28,13,19,43,60,43,26,52,30,4,10622576,12353810,12959983,9523661,NO,NO,NO,FI
Baksal,KR,1113173,991492,797430,796815,1414073,699779,1264331,961181,1596864,785326,20,25,20,21,19,15,31,28,25,15,34,25,20,9,33,4,114017,757783,5309981,14447878,KR,KR,KR,KR
Balec,CA,548453,446729,370648,335895,360866,258927,475502,416335,184581,187954,90,83,93,85,94,86,80,79,92,94,86,94,71,97,90,2,8514740,14087398,,,CA,CA,,
Banana da Madeira🍌,PT,1068611,789797,1030905,616614,1478034,574202,1265849,515800,1129929,518176,38,31,24,42,46,19,46,12,59,10,48,24,59,37,52,4,4430263,799218,11610772,3256745,PT,PT,PT,PT
BlaskBasedCtn(BBC),SG,573016,179238,322787,384373,618958,386889,487830,188136,408505,255313,88,90,80,91,83,84,97,88,85,81,70,92,88,83,85,4,20352072,5346730,9562353,1274585,SG,NO,DE,HK
Blue Pants,US,1131634,1290110,873354,1157740,1529059,1104327,1335040,1554736,1528109,850886,8,12,7,5,20,14,10,25,4,7,9,16,2,15,27,4,6619303,13380270,5645231,3533958,US,US,US,US
